Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days,total_valid_days,Log_NR,NORD_CHTOPO,OST_CHTOPO
Steinholzliwald,15.32017991409278,17.86410453817183,13.02306593176231,13.064913933247647,15.91603293333109,15.89107657164685,16.461949190945436,14.166753835274234,0,9,5,0,0,23,101,46.93514,7.42805
Vordere Langgasse,20.59244215577726,27.865967803463796,16.41670263310404,15.013311970702677,22.43798731751518,21.16378242521964,23.030971713831065,16.898455449009347,9,9,97,45,9,124,102,46.95171,7.43714
Tellstrasse,20.910306983124975,27.448411585043207,17.01469096393001,15.565471885252155,22.612460508485526,21.474872769300575,23.216676664986608,17.516478984612387,10,6,94,37,9,124,111,46.96017,7.46146
Ausserholligen Post,20.49379271003856,26.727766842145417,16.282530192676163,14.768410772869458,22.350550859241398,21.062554020727692,22.945541371528908,16.750179908533568,4,8,91,33,7,124,112,46.94755,7.40188
Ausserholligen ewb,20.500829852934494,26.714991989013505,16.64832575712768,15.184042114900436,22.19014940612389,21.06953593810387,22.780885631039407,17.12952044083894,8,8,91,33,8,121,113,46.94542,7.40642
Ansermetplatz,20.030310910325827,26.801998193528696,15.555274342582562,14.089613183794919,21.959338545973626,20.545667941004872,22.525946244940076,15.97052277055683,1,13,92,32,7,124,116,46.94787,7.37708
Koniztal,17.16590055966864,24.386892500190736,13.515699014475368,12.382963302052339,19.349637193771997,17.74198355463051,20.031131617329695,14.029748184102194,0,21,49,6,1,1,117,46.90961,7.44248
Barenplatz,21.273346275001618,27.372587167162585,17.452620637167488,15.812884585402424,23.011845041362083,21.295926144123293,23.011845041362083,17.452620637167488,8,1,90,30,7,114,124,46.94814,7.44366
Optingenstrasse,20.58392586231209,26.580450141145953,16.999193746329606,15.510270847638667,22.17765119833582,21.15126836797934,22.76327325303474,17.51075684404989,10,6,92,30,7,124,126,46.95597,7.45045
Breitenrainplatz,20.945992601991446,27.02880386496258,17.08926367005067,15.64863660639353,22.623918689675705,21.51208311024532,23.22742878557179,17.60329757034497,10,6,91,35,7,124,127,46.95838,7.45415
Schosshaldenfriedhof,21.265300442262383,28.50391648228682,16.96801012575507,15.559965948287978,23.141290061336665,21.265300442262383,23.141290061336665,16.96801012575507,3,3,73,40,9,94,128,46.95342,7.47165
Laupenstrasse,21.628375942113795,28.314326695658806,17.702286761990806,16.139934386205844,23.386799622214607,22.212552422076676,23.989734088774693,18.216709539401645,14,4,98,48,13,124,129,46.94734,7.43639
Viererfeld 2 (Schacht),20.014004323218295,26.55346379797055,15.81243430776986,14.246436255436027,21.83017209632742,20.5582871107295,22.416498649157436,16.285108650331207,1,12,89,33,6,125,141,46.96271,7.43688
Viererfeld 3 (Strasse Sud),19.759673493882246,26.518092795942838,15.651462334895644,14.094377050431067,21.569434505144933,20.224792853048484,22.069079361549225,15.995110235703262,0,11,89,28,7,122,142,46.96286,7.44009
Viererfeld 4 (Strasse Nord),19.927843494927405,26.478819423122133,16.12401936087179,14.632849944887639,21.618094563972264,20.410601853172626,22.133653511121796,16.489989855772517,2,8,86,35,7,122,143,46.96523,7.44165
Viererfeld 5 (Mittelfeld),19.868824546492874,26.29786595195377,15.784318177143975,14.300120546272984,21.637507938412032,20.40877569702247,22.218697630391635,16.25312795277041,2,11,84,26,6,124,144,46.96178,7.43481
