Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days,total_valid_days,valid_days_percent,Log_NR,STANDORT_NEU,NORD_CHTOPO,OST_CHTOPO
Log_73,21.197361999462927,27.562673944556675,18.028371481668692,15.67371863184,22.64395549782349,0.7644163325153737,0.6274165474327295,1.1292446221995065,4,1,72,27,7,91,1,73,Obstberg,46.94714,7.46407
Log_76,20.948769602702164,28.169680323491264,16.981720609739554,14.827568950679725,22.703006588528517,0.5158239357546073,0.6864676381377551,0.08259375027036822,0,2,75,28,9,91,1,76,Wabern Viktoriastrasse,46.93122,7.45326
Log_78,20.794302428985603,27.213731626976625,17.58851736240683,15.604347508636526,22.24414148090065,0.3613567620380464,0.22760253050989032,0.6893905029376456,3,0,69,20,8,92,1.010989010989011,78,Dalmazibrucke,46.94445,7.44571
Log_79,20.395415745125238,27.40619848006873,16.07269412800994,13.731355895355925,22.279844733730382,-0.03752992182231729,0.263305783339621,-0.8765025855940178,0,13,70,24,6,89,0.978021978021978,79,Umland Belp,46.89942,7.51184
Log_80,21.076907790542663,28.53986917047313,17.277137216465025,15.00630870313901,22.76657058177205,0.6439621235951078,0.75003163138129,0.3780103569958406,2,2,76,31,9,91,1,80,Elfenau,46.93558,7.4695
Log_82,21.485584105109414,28.567791521954746,17.99267758517418,15.5715857323223,23.077411442420498,1.0526384381618574,1.0608724920297352,1.0935507257049983,4,1,74,35,9,91,1,82,Thunplatz,46.94059,7.45824
Log_83,21.509527800963262,27.978287406994603,18.24949496225046,16.04001309322524,22.965992877796793,1.0765821340157076,0.9494539274060299,1.3503681027812742,8,0,73,27,8,91,1,83,Stadtlabor,46.96311,7.46257
Log_86,21.38216770237058,28.2802667675089,17.916682974004594,15.661084818011552,22.93884202126794,0.9492220354230246,0.9223030708771788,1.0175561145354088,5,1,73,30,9,91,1,86,Ostermundigen Lotschenstrasse,46.95309,7.48719
Log_87,20.41136453946432,27.80904080461486,16.76354020032327,15.095807788828264,22.00634753766759,-0.021581127483235932,-0.010191412723170801,-0.13558665914591292,0,0,73,25,6,91,1,87,Engehalde Stauwehr,46.96546,7.44503
Log_89,17.10580025639894,22.056963836118104,14.85934348373931,13.348643218636353,17.939336965626087,-1.0353544260334153,-1.5959554409909449,-0.216397311366302,0,1,3,0,0,15,0.16483516483516483,89,Gurten Kulm,46.91833,7.43971
Log_98,20.40466032918043,26.849144665479116,16.614726375166235,14.392061288763864,22.084543842291932,-0.02828533776712678,0.06800489190117043,-0.2844004843029494,0,4,67,22,5,91,1,98,Zollikofen 2m,46.99079,7.46407
Log_101,15.943388733725149,18.0014194905896,14.68508877037701,13.330885531904071,16.34108627572286,-3.2430643966129944,-4.419023373409525,0.09264056720055362,0,2,5,0,0,8,0.08791208791208792,101,Steinholzliwald,46.93514,7.42805
Log_102,21.39404151073915,28.861266465645638,18.064990203511876,15.831469025416116,22.8903794487222,0.9610958437915943,0.8738404983314377,1.16586334404269,9,2,76,36,9,91,1,102,Vordere Langgasse,46.95171,7.43714
Log_111,21.686691434039474,28.322585674432183,18.716978262722012,16.378829009533607,23.039775648700214,1.2537457670919183,1.0232366983094536,1.8178514032528283,10,0,73,29,9,91,1,111,Tellstrasse,46.96017,7.46146
Log_112,21.31462017604598,27.694419842035952,17.90003230937108,15.563144047627837,22.863613101019247,0.8816745090984253,0.8470741506284859,1.000905449901897,4,1,73,27,7,91,1,112,Ausserholligen Post,46.94755,7.40188
Log_113,21.314352636397143,27.70063125910151,18.370202844334084,15.976269759818074,22.65430213656797,0.8814069694495877,0.6377631861772083,1.4177942215224173,8,1,72,27,8,90,0.989010989010989,113,Ausserholligen ewb,46.94542,7.40642
Log_116,20.74693069579353,27.602670826408723,17.092275805064435,14.764084036191775,22.395787270086362,0.3139850288459734,0.3792483196956005,0.1931489455952523,1,5,71,26,7,91,1,116,Ansermetplatz,46.94787,7.37708
