Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days
Bundesplatz,20.892578524150224,26.774978255893796,17.15075575091693,15.54522011139086,22.75540074874389,1.3474470902264437,1.123245676844514,1.8143790984623656,8,5,91,34,8
Hirschengraben,20.567367371804004,26.650733196002136,16.959407041956144,15.474338902876326,22.366301865653394,1.0055913585553893,0.7139301416082233,1.6188784399216967,9,6,91,33,8
Obstberg,20.386703727980976,26.62909285114824,16.358193188960275,14.906477454795148,22.390335021829234,0.8184036852999305,0.7399974757533975,0.9928533138270903,4,8,92,34,7
Wabern Viktoriastrasse,20.71915517794332,28.007138568504715,15.91726330673252,14.476025091139485,23.08803227175143,0.5301695684369896,0.7465187509254073,0.08332986254660364,0,5,94,36,9
Dalmazibrucke,20.62867053902131,27.153329949811088,16.53034767796119,15.297418239838652,22.672800891223652,0.439684929514979,0.33128737039763206,0.6964142337752708,2,1,87,27,8
Umland Belp,19.566623876913873,26.36338445105669,14.647726231850935,13.025711451895933,21.98259715271388,-0.040126077986277826,0.31645657022262136,-0.8144725448241033,0,29,87,29,6
Elfenau,20.25086220118345,27.536235599298085,15.647302176072435,14.254981307698177,22.536465625471262,0.6722288573306133,0.888634847241419,0.23764928536430996,2,9,97,39,9
Thunplatz,20.69549750583961,27.62559548332952,16.27756077553614,14.822970931563287,22.889387580584422,1.139134494372436,1.259856575506316,0.9011426048278813,4,8,95,44,9
Stadtlabor,20.66474414529234,27.003942931258106,16.606785240306422,15.218905928130008,22.671781375009566,1.108772115057138,1.0336387365420656,1.2542002661845408,8,6,93,35,8
Ostermundigen Lotschenstrasse,20.53241070641812,27.24194399938964,16.251668744991914,14.79972838941024,22.648524801628835,0.9704069730107767,1.0091843526691717,0.8784931157087137,4,9,94,37,9
Engehalde Stauwehr,19.720913937463145,27.084672312504768,15.445954084250967,14.395184252689402,21.83561362656573,0.08749282204659208,0.11555995412694513,0.023494227999855007,0,8,95,32,6
Gurten Kulm,16.400830757080726,21.19596822732552,13.748714752833852,12.391374837872892,17.58841008181301,-1.2278178356006233,-2.1088314941606625,0.43124629264192094,0,6,5,0,0
Zollikofen 2m,19.556828088654683,25.8755687800412,15.209577479117886,13.644127565423057,21.70548744885599,-0.03290054927441148,0.038060578929497615,-0.19075949711624815,0,15,82,27,5
Zollikofen 3m,20.188985609506332,26.541731766298128,15.833933444185917,14.2213918218277,22.341513520826023,0,0,0,1,7,78,24,5
Steinholzliwald,15.348120844310936,17.764002271898818,13.02306593176231,13.064913933247647,15.93793979339826,16.072039958335118,16.628673377141652,14.166753835274234,0,9,5,0,0
Vordere Langgasse,20.548040727261178,27.798077363241017,16.41670263310404,15.013311970702677,22.60177943968197,21.1831222682917,23.306358252534178,16.898455449009347,9,9,97,45,9
Tellstrasse,20.84545375643646,27.305882352941175,17.01469096393001,15.565471885252155,22.749920689235246,21.49340540044412,23.4618297175541,17.516478984612387,10,6,94,37,9
Ausserholligen Post,20.45142235477482,26.66235446707866,16.282530192676163,14.768410772869458,22.524283117110226,21.08203606662471,23.227167765759756,16.750179908533568,4,8,91,33,7
Ausserholligen ewb,20.456594189721578,26.6454352635996,16.64832575712768,15.184042114900436,22.32327679431487,21.087298099998296,23.02159736241896,17.12952044083894,8,8,91,33,8
Ansermetplatz,19.97344006535725,26.664170290684368,15.555274342582562,14.089613183794919,22.156741708984434,20.566099259331384,22.82943415357897,15.97052277055683,1,13,92,32,7
Koniztal,17.190833651149465,24.194088889671402,13.515699014475368,12.382963302052339,19.64570395140014,17.85662870697469,20.47485467479231,14.029748184102194,0,21,49,6,1
Barenplatz,21.315109246949927,27.44430291148772,17.452620637167488,15.812884585402424,23.23663594683725,21.315109246949927,23.23663594683725,17.452620637167488,8,1,90,30,7
