 

stn;time;tre200s0;ure200s0
BER;202305031120;15.5;54.7
BER;202305031130;15.7;55.9
BER;202305031140;15.7;55.7
BER;202305031150;16.3;55.9
BER;202305031200;16.2;58.0
BER;202305031210;16.7;58.1
BER;202305031220;16.7;50.5
BER;202305031230;16.7;48.5
BER;202305031240;16.6;52.0
BER;202305031250;17.7;55.9
BER;202305031300;17.2;52.9
BER;202305031310;17.3;54.5
BER;202305031320;17.4;54.0
BER;202305031330;17.7;53.9
BER;202305031340;17.2;53.2
BER;202305031350;17.8;52.2
BER;202305031400;17.7;49.0
BER;202305031410;17.6;51.4
BER;202305031420;17.6;54.9
BER;202305031430;17.6;50.8
BER;202305031440;17.8;52.0
BER;202305031450;17.8;51.6
BER;202305031500;18.0;53.6
BER;202305031510;17.7;50.8
BER;202305031520;17.8;50.4
BER;202305031530;18.0;51.9
BER;202305031540;17.6;51.8
BER;202305031550;17.6;50.5
BER;202305031600;17.6;52.9
BER;202305031610;17.5;52.6
BER;202305031620;17.4;51.3
BER;202305031630;17.3;52.9
BER;202305031640;17.2;53.0
BER;202305031650;17.1;52.4
BER;202305031700;17.0;53.5
BER;202305031710;16.8;55.7
BER;202305031720;16.8;54.3
BER;202305031730;16.5;54.4
BER;202305031740;16.2;55.4
BER;202305031750;16.2;56.3
BER;202305031800;15.9;56.6
BER;202305031810;15.8;56.9
BER;202305031820;15.2;60.1
BER;202305031830;14.5;63.9
BER;202305031840;14.3;64.5
BER;202305031850;13.9;66.3
BER;202305031900;13.7;66.8
BER;202305031910;13.2;69.2
BER;202305031920;13.2;69.1
BER;202305031930;13.1;70.0
BER;202305031940;12.5;72.8
BER;202305031950;12.6;71.7
BER;202305032000;12.5;72.7
BER;202305032010;11.9;75.6
BER;202305032020;12.1;74.5
BER;202305032030;11.8;76.1
BER;202305032040;11.7;75.9
BER;202305032050;11.7;75.0
BER;202305032100;11.2;77.2
BER;202305032110;11.6;74.8
BER;202305032120;11.4;76.3
BER;202305032130;10.9;78.3
BER;202305032140;11.7;74.3
BER;202305032150;11.2;76.6
BER;202305032200;10.7;78.1
BER;202305032210;10.2;81.1
BER;202305032220;9.8;82.1
BER;202305032230;10.0;80.7
BER;202305032240;10.0;81.1
BER;202305032250;9.3;85.8
BER;202305032300;9.1;87.2
BER;202305032310;9.2;85.8
BER;202305032320;9.3;85.6
BER;202305032330;8.7;88.0
BER;202305032340;8.7;87.8
BER;202305032350;8.1;89.3
BER;202305040000;8.1;90.6
BER;202305040010;7.2;93.5
BER;202305040020;8.3;90.1
BER;202305040030;8.2;90.8
BER;202305040040;8.2;90.8
BER;202305040050;6.9;93.6
BER;202305040100;6.7;92.4
BER;202305040110;6.5;95.3
BER;202305040120;6.9;94.4
BER;202305040130;6.9;94.8
BER;202305040140;6.8;95.3
BER;202305040150;7.0;93.9
BER;202305040200;6.8;95.2
BER;202305040210;6.7;95.4
BER;202305040220;6.7;94.9
BER;202305040230;6.1;96.2
BER;202305040240;6.6;95.3
BER;202305040250;6.6;95.6
BER;202305040300;6.4;95.6
BER;202305040310;6.3;95.8
BER;202305040320;6.3;95.7
BER;202305040330;6.2;95.9
BER;202305040340;5.9;96.1
BER;202305040350;6.5;95.5
BER;202305040400;6.8;96.3
BER;202305040410;5.4;97.8
BER;202305040420;6.1;96.5
BER;202305040430;6.3;97.0
BER;202305040440;6.3;96.4
BER;202305040450;6.3;95.0
BER;202305040500;6.4;95.7
BER;202305040510;6.4;96.0
BER;202305040520;6.8;95.4
BER;202305040530;7.6;94.1
BER;202305040540;7.7;93.4
BER;202305040550;8.3;92.6
BER;202305040600;8.8;91.3
BER;202305040610;9.4;91.7
BER;202305040620;9.8;88.2
BER;202305040630;10.2;84.2
BER;202305040640;11.3;85.2
BER;202305040650;11.5;81.5
BER;202305040700;11.9;78.3
BER;202305040710;12.2;76.9
BER;202305040720;12.4;76.3
BER;202305040730;13.4;77.4
BER;202305040740;13.1;70.2
BER;202305040750;13.9;72.6
BER;202305040800;14.2;70.7
BER;202305040810;14.4;69.0
BER;202305040820;14.3;67.9
BER;202305040830;15.0;69.0
BER;202305040840;15.4;70.8
BER;202305040850;15.3;68.7
BER;202305040900;15.5;66.6
BER;202305040910;15.9;62.8
BER;202305040920;16.6;66.6
BER;202305040930;17.1;67.8
BER;202305040940;17.2;65.4
BER;202305040950;17.7;63.0
BER;202305041000;17.8;61.9
BER;202305041010;18.3;57.9
BER;202305041020;18.2;55.7
BER;202305041030;18.7;56.7
BER;202305041040;19.1;57.2
BER;202305041050;18.8;53.3
BER;202305041100;19.5;56.5
BER;202305041110;19.2;54.2
BER;202305041120;19.5;53.8
BER;202305041130;20.0;59.6
BER;202305041140;19.8;58.4
BER;202305041150;20.0;53.2
BER;202305041200;20.2;51.0
BER;202305041210;20.3;53.7
BER;202305041220;20.6;46.3
BER;202305041230;21.7;48.8
BER;202305041240;21.0;49.4
BER;202305041250;21.5;49.4
BER;202305041300;21.5;50.9
BER;202305041310;21.9;50.9
BER;202305041320;21.9;49.6
BER;202305041330;22.2;46.1
BER;202305041340;22.4;47.8
BER;202305041350;22.2;47.2
BER;202305041400;22.1;50.2
BER;202305041410;22.6;48.6
BER;202305041420;22.3;47.6
BER;202305041430;22.5;52.3
BER;202305041440;22.3;46.3
BER;202305041450;22.3;50.5
BER;202305041500;22.4;53.8
BER;202305041510;22.2;43.9
BER;202305041520;22.9;46.6
BER;202305041530;21.6;48.9
BER;202305041540;21.4;46.5
BER;202305041550;21.7;47.2
BER;202305041600;21.7;48.1
BER;202305041610;22.1;41.9
BER;202305041620;21.5;41.2
BER;202305041630;22.1;41.1
BER;202305041640;21.2;40.3
BER;202305041650;21.0;41.5
BER;202305041700;21.8;41.7
BER;202305041710;21.5;37.5
BER;202305041720;21.4;35.9
BER;202305041730;21.1;39.5
BER;202305041740;20.0;44.1
BER;202305041750;20.4;42.2
BER;202305041800;20.1;41.8
BER;202305041810;19.4;45.5
BER;202305041820;19.8;43.7
BER;202305041830;19.6;44.5
BER;202305041840;19.0;45.9
BER;202305041850;19.1;45.9
BER;202305041900;19.0;46.0
BER;202305041910;18.9;46.9
BER;202305041920;18.6;48.3
BER;202305041930;17.1;54.8
BER;202305041940;16.9;58.3
BER;202305041950;17.2;56.3
BER;202305042000;16.1;61.3
BER;202305042010;15.3;64.6
BER;202305042020;15.7;62.8
BER;202305042030;15.9;61.2
BER;202305042040;15.2;68.5
BER;202305042050;15.7;60.8
BER;202305042100;15.5;61.6
BER;202305042110;14.4;67.2
BER;202305042120;15.5;63.1
BER;202305042130;13.4;75.2
BER;202305042140;14.7;69.3
BER;202305042150;14.8;67.8
BER;202305042200;14.7;68.3
BER;202305042210;14.7;68.5
BER;202305042220;14.1;71.5
BER;202305042230;13.6;74.0
BER;202305042240;13.8;72.6
BER;202305042250;12.7;77.2
BER;202305042300;13.0;74.9
BER;202305042310;11.5;80.7
BER;202305042320;12.3;76.6
BER;202305042330;12.1;77.8
BER;202305042340;10.7;84.8
BER;202305042350;12.1;76.8
BER;202305050000;12.2;75.9
BER;202305050010;12.1;76.1
BER;202305050020;11.9;76.6
BER;202305050030;11.7;77.1
BER;202305050040;11.7;77.7
BER;202305050050;11.6;80.1
BER;202305050100;10.9;86.4
BER;202305050110;11.4;81.9
BER;202305050120;11.8;78.2
BER;202305050130;10.9;88.3
BER;202305050140;11.4;80.9
BER;202305050150;11.7;80.2
BER;202305050200;11.6;80.2
BER;202305050210;11.0;84.0
BER;202305050220;11.5;80.9
BER;202305050230;11.4;82.0
BER;202305050240;11.3;81.7
BER;202305050250;11.3;81.3
BER;202305050300;10.5;87.3
BER;202305050310;11.2;82.9
BER;202305050320;11.6;80.3
BER;202305050330;11.5;80.0
BER;202305050340;11.3;79.7
BER;202305050350;10.8;85.7
BER;202305050400;10.6;84.6
BER;202305050410;10.7;84.1
BER;202305050420;10.5;86.0
BER;202305050430;11.4;79.9
BER;202305050440;11.4;81.4
BER;202305050450;11.5;81.8
BER;202305050500;11.1;86.1
BER;202305050510;11.3;85.4
BER;202305050520;11.3;85.0
BER;202305050530;11.4;85.2
BER;202305050540;11.9;82.3
BER;202305050550;12.2;83.0
BER;202305050600;12.4;78.3
BER;202305050610;13.1;77.3
BER;202305050620;13.8;77.9
BER;202305050630;14.7;70.0
BER;202305050640;15.5;67.6
BER;202305050650;16.0;65.2
BER;202305050700;15.9;66.6
BER;202305050710;16.3;65.2
BER;202305050720;16.9;66.2
BER;202305050730;16.9;56.4
BER;202305050740;16.9;55.2
BER;202305050750;17.5;57.4
BER;202305050800;17.2;56.1
BER;202305050810;17.3;56.6
BER;202305050820;17.9;60.0
BER;202305050830;18.0;59.4
BER;202305050840;18.0;55.5
BER;202305050850;18.1;57.8
BER;202305050900;18.2;58.5
BER;202305050910;18.4;53.0
BER;202305050920;18.6;57.2
BER;202305050930;18.9;55.0
BER;202305050940;19.0;51.3
BER;202305050950;19.2;50.7
BER;202305051000;19.5;55.7
BER;202305051010;19.6;54.7
BER;202305051020;19.7;50.9
BER;202305051030;19.8;49.9
BER;202305051040;19.7;52.3
BER;202305051050;20.1;54.9
BER;202305051100;20.3;49.2
BER;202305051110;20.5;46.8
BER;202305051120;20.6;50.5
BER;202305051130;21.1;46.0
BER;202305051140;21.0;46.3
BER;202305051150;21.2;49.3
BER;202305051200;21.6;50.8
BER;202305051210;22.0;53.0
BER;202305051220;21.3;52.7
BER;202305051230;21.5;54.1
BER;202305051240;21.4;50.4
BER;202305051250;22.4;52.2
BER;202305051300;22.1;48.1
BER;202305051310;22.5;41.7
BER;202305051320;22.5;43.8
BER;202305051330;21.9;46.2
BER;202305051340;21.7;45.5
BER;202305051350;20.5;51.3
BER;202305051400;19.8;55.7
BER;202305051410;20.1;51.4
BER;202305051420;19.9;54.5
BER;202305051430;19.8;52.6
BER;202305051440;19.3;53.3
BER;202305051450;20.2;52.9
BER;202305051500;19.8;53.5
BER;202305051510;19.5;52.7
BER;202305051520;19.3;55.3
BER;202305051530;19.8;60.0
BER;202305051540;19.1;57.5
BER;202305051550;19.3;56.0
BER;202305051600;19.6;61.0
BER;202305051610;19.3;59.0
BER;202305051620;19.4;58.3
BER;202305051630;19.0;61.0
BER;202305051640;18.7;61.8
BER;202305051650;18.6;56.4
BER;202305051700;18.3;55.8
BER;202305051710;18.4;54.8
BER;202305051720;18.1;55.3
BER;202305051730;17.4;57.8
BER;202305051740;17.9;54.6
BER;202305051750;17.2;58.7
BER;202305051800;17.4;57.9
BER;202305051810;17.4;57.5
BER;202305051820;17.3;57.9
BER;202305051830;17.4;56.5
BER;202305051840;16.6;62.0
BER;202305051850;16.6;63.1
BER;202305051900;16.0;65.4
BER;202305051910;16.0;66.7
BER;202305051920;15.1;75.5
BER;202305051930;15.7;68.3
BER;202305051940;14.7;74.8
BER;202305051950;14.7;72.6
BER;202305052000;14.4;74.3
BER;202305052010;14.2;75.2
BER;202305052020;13.8;79.5
BER;202305052030;13.6;81.5
BER;202305052040;14.4;74.3
BER;202305052050;14.6;76.2
BER;202305052100;13.8;78.9
BER;202305052110;14.3;76.3
BER;202305052120;13.9;78.9
BER;202305052130;13.7;82.6
BER;202305052140;13.4;88.3
BER;202305052150;13.7;86.3
BER;202305052200;14.0;82.7
BER;202305052210;13.6;84.0
BER;202305052220;13.7;86.8
BER;202305052230;13.6;90.3
BER;202305052240;13.5;92.9
BER;202305052250;13.6;91.2
BER;202305052300;13.2;92.7
BER;202305052310;13.2;93.1
BER;202305052320;13.2;91.7
BER;202305052330;13.2;93.0
BER;202305052340;13.2;94.1
BER;202305052350;13.2;94.8
BER;202305060000;13.1;92.9
BER;202305060010;13.2;91.9
BER;202305060020;12.5;95.4
BER;202305060030;12.8;93.9
BER;202305060040;12.6;94.7
BER;202305060050;12.5;96.6
BER;202305060100;12.7;95.0
BER;202305060110;12.3;96.3
BER;202305060120;12.1;96.2
BER;202305060130;12.3;95.8
BER;202305060140;12.4;96.1
BER;202305060150;12.5;97.0
BER;202305060200;12.1;97.7
BER;202305060210;12.4;97.1
BER;202305060220;12.2;96.9
BER;202305060230;12.6;95.4
BER;202305060240;12.7;95.3
BER;202305060250;12.7;96.4
BER;202305060300;12.5;96.4
BER;202305060310;12.6;96.2
BER;202305060320;12.4;96.4
BER;202305060330;12.4;97.1
BER;202305060340;12.3;96.3
BER;202305060350;11.9;97.1
BER;202305060400;11.9;98.8
BER;202305060410;12.3;96.8
BER;202305060420;12.1;95.9
BER;202305060430;12.2;95.7
